dataset,fold,base,err_Simple,err_V2,delta_err,fit_s_Simple,fit_s_V2
german,1,Linear,0.27844311377245506,0.27844311377245506,0.0,0.012586400000145659,0.11767569999210536
german,1,Logistic,0.2934131736526946,0.2934131736526946,0.0,0.014592600025935099,0.507210900017526
german,1,MLP,0.27245508982035926,0.2694610778443114,-0.0029940119760478723,0.24013729998841882,10.375518799992278
german,2,Linear,0.2702702702702703,0.2702702702702703,0.0,0.01038309998693876,0.10336700000334531
german,2,Logistic,0.2672672672672673,0.2672672672672673,0.0,0.022915300010936335,0.4105697000049986
german,2,MLP,0.26426426426426425,0.2972972972972973,0.033033033033033066,0.26146939999307506,13.296723099978408
german,3,Linear,0.22822822822822822,0.22822822822822822,0.0,0.014309099991805851,0.10810439998749644
german,3,Logistic,0.23423423423423423,0.23423423423423423,0.0,0.01889350000419654,0.4311517000023741
german,3,MLP,0.23123123123123124,0.2852852852852853,0.05405405405405406,0.24536920001264662,12.093462000018917
magic,1,Linear,0.2197160883280757,0.17429022082018927,-0.045425867507886436,0.009205899987136945,0.49195170000893995
magic,1,Logistic,0.21214511041009465,0.16529968454258676,-0.046845425867507895,0.022024900012183934,2.2526005000108853
magic,1,MLP,0.17413249211356466,0.17839116719242903,0.004258675078864377,3.939604299986968,95.32063299999572
magic,2,Linear,0.21230283911671924,0.1694006309148265,-0.04290220820189275,0.010165100015001372,0.4997977999737486
magic,2,Logistic,0.2061514195583596,0.1580441640378549,-0.04810725552050471,0.018365399999311194,2.124454100005096
magic,2,MLP,0.16861198738170347,0.1749211356466877,0.006309148264984243,3.7151210999873,137.1473612000118
magic,3,Linear,0.216403785488959,0.1641955835962145,-0.0522082018927445,0.013988699996843934,0.7133250000188127
magic,3,Logistic,0.21056782334384858,0.15883280757097792,-0.05173501577287065,0.039761199994245544,2.867526399990311
magic,3,MLP,0.17413249211356466,0.16435331230283912,-0.009779179810725541,5.712652299989713,130.35279080001055
spambase,1,Linear,0.10691003911342895,0.08930899608865711,-0.017601043024771834,0.03791819998878054,0.5159829999902286
spambase,1,Logistic,0.08409387222946545,0.08344198174706649,-0.0006518904823989563,0.056805400003213435,2.1129362999927253
spambase,1,MLP,0.0847457627118644,0.0847457627118644,0.0,1.4524473999917973,39.823774499993306
spambase,2,Linear,0.10560625814863103,0.10691003911342895,0.0013037809647979126,0.03700029998435639,0.5284733999869786
spambase,2,Logistic,0.06584093872229466,0.06584093872229466,0.0,0.07800690000294708,1.7558913999819197
spambase,2,MLP,0.08213820078226858,0.14732724902216426,0.06518904823989569,1.2127573000034317,24.80072339999606
spambase,3,Linear,0.12198303979125896,0.11741682974559686,-0.0045662100456621,0.020266500010620803,0.30925190000562
spambase,3,Logistic,0.07697325505544683,0.08545335942596216,0.008480104370515329,0.05514109999057837,1.7436052999983076
spambase,3,MLP,0.08741030658838878,0.08741030658838878,0.0,0.8722506999911275,10.18003889999818
chess,1,Linear,0.06285178236397748,0.06285178236397748,0.0,0.024162299989257008,0.23799299998790957
chess,1,Logistic,0.019699812382739212,0.01594746716697936,-0.0037523452157598516,0.030822300002910197,1.013762599992333
chess,1,MLP,0.036585365853658534,0.036585365853658534,0.0,0.6314219000050798,16.449816899985308
chess,2,Linear,0.05070422535211268,0.044131455399061034,-0.006572769953051644,0.028016399999614805,0.5297609000117518
chess,2,Logistic,0.02535211267605634,0.013145539906103286,-0.012206572769953053,0.041492999996989965,0.9637956999940798
chess,2,MLP,0.036619718309859155,0.036619718309859155,0.0,0.631596699997317,16.91478960000677
chess,3,Linear,0.0647887323943662,0.054460093896713614,-0.01032863849765258,0.03148000000510365,0.5153385000012349
chess,3,Logistic,0.027230046948356807,0.013145539906103286,-0.014084507042253521,0.032954800000879914,0.9976320000132546
chess,3,MLP,0.04225352112676056,0.04225352112676056,0.0,0.7243026999931317,16.490181500004837
